amount,transactionFeeAmount,settlementFeeAmount,transactionProcessingFee,settlementProcessingFee,fired_rule_name,rule_content
500.000000,15.000000,8.000000,2.000000,1.000000,first_amount,""
800.000000,20.000000,10.000000,2.500000,1.500000,first_amount,""
500.000000,15.000000,8.000000,2.000000,1.000000,first_amount,""
800.000000,20.000000,10.000000,2.500000,1.500000,first_amount,""
800.000000,20.000000,10.000000,2.500000,1.500000,first_amount,""
800.000000,20.000000,10.000000,2.500000,1.500000,first amount,"import net.com.fms_core.dto.message.IsoMessageDTO; rule \"first amount\" when $t : IsoMessageDTO(amount > 500) then     $t.setRiskLevel(\"HIGH\");     $t.setFlaggedForReview(true);     $t.setRuleFired(true);     $t.setRuleName(\"first amount\");     $t.setFiredRule(\"----\");     $t.setRiskScore(7.0);     $t.setPaymentNetwork(\"VISA\"); end"
800.000000,20.000000,10.000000,2.500000,1.500000,first_amount,""
800.000000,20.000000,10.000000,2.500000,1.500000,first_amount,""
800.000000,20.000000,10.000000,2.500000,1.500000,first_amount,""
800.000000,20.000000,10.000000,2.500000,1.500000,first_amount,""
800.000000,20.000000,10.000000,2.500000,1.500000,first_amount,""
800.000000,20.000000,10.000000,2.500000,1.500000,first_amount,""
800.000000,20.000000,10.000000,2.500000,1.500000,first amount,"import net.com.fms_core.dto.message.IsoMessageDTO; rule \"first amount\" when $t : IsoMessageDTO(amount > 500) then     $t.setRiskLevel(\"HIGH\");     $t.setFlaggedForReview(true);     $t.setRuleFired(true);     $t.setRuleName(\"first amount\");     $t.setFiredRule(\"----\");     $t.setRiskScore(7.0);     $t.setPaymentNetwork(\"VISA\"); end"
800.000000,20.000000,10.000000,2.500000,1.500000,first amount,"import net.com.fms_core.dto.message.IsoMessageDTO; rule \"first amount\" when $t : IsoMessageDTO(amount > 500) then     $t.setRiskLevel(\"HIGH\");     $t.setFlaggedForReview(true);     $t.setRuleFired(true);     $t.setRuleName(\"first amount\");     $t.setFiredRule(\"----\");     $t.setRiskScore(7.0);     $t.setPaymentNetwork(\"VISA\"); end"
800.000000,20.000000,10.000000,2.500000,1.500000,first amount,"import net.com.fms_core.dto.message.IsoMessageDTO; rule \"first amount\" when $t : IsoMessageDTO(amount > 500) then     $t.setRiskLevel(\"HIGH\");     $t.setFlaggedForReview(true);     $t.setRuleFired(true);     $t.setRuleName(\"first amount\");     $t.setFiredRule(\"----\");     $t.setRiskScore(7.0);     $t.setPaymentNetwork(\"VISA\"); end"
1200.000000,30.000000,15.000000,3.000000,2.000000,first amount,"import net.com.fms_core.dto.message.IsoMessageDTO; rule \"first amount\" when $t : IsoMessageDTO(amount > 500) then     $t.setRiskLevel(\"HIGH\");     $t.setFlaggedForReview(true);     $t.setRuleFired(true);     $t.setRuleName(\"first amount\");     $t.setFiredRule(\"----\");     $t.setRiskScore(7.0);     $t.setPaymentNetwork(\"VISA\"); end"
1200.000000,30.000000,15.000000,3.000000,2.000000,first amount,"import net.com.fms_core.dto.message.IsoMessageDTO; rule \"first amount\" when $t : IsoMessageDTO(amount > 500) then     $t.setRiskLevel(\"HIGH\");     $t.setFlaggedForReview(true);     $t.setRuleFired(true);     $t.setRuleName(\"first amount\");     $t.setFiredRule(\"----\");     $t.setRiskScore(7.0);     $t.setPaymentNetwork(\"VISA\"); end"
1200.000000,30.000000,15.000000,3.000000,2.000000,first amount,"import net.com.fms_core.dto.message.IsoMessageDTO; rule \"first amount\" when $t : IsoMessageDTO(amount > 500) then     $t.setRiskLevel(\"HIGH\");     $t.setFlaggedForReview(true);     $t.setRuleFired(true);     $t.setRuleName(\"first amount\");     $t.setFiredRule(\"----\");     $t.setRiskScore(7.0);     $t.setPaymentNetwork(\"VISA\"); end"
1200.000000,30.000000,15.000000,3.000000,2.000000,first amount,"import net.com.fms_core.dto.message.IsoMessageDTO; rule \"first amount\" when $t : IsoMessageDTO(amount > 500) then     $t.setRiskLevel(\"HIGH\");     $t.setFlaggedForReview(true);     $t.setRuleFired(true);     $t.setRuleName(\"first amount\");     $t.setFiredRule(\"----\");     $t.setRiskScore(7.0);     $t.setPaymentNetwork(\"VISA\"); end"
2000.000000,50.000000,25.000000,4.000000,2.500000,first amount,"import net.com.fms_core.dto.message.IsoMessageDTO; rule \"first amount\" when $t : IsoMessageDTO(amount > 500) then     $t.setRiskLevel(\"HIGH\");     $t.setFlaggedForReview(true);     $t.setRuleFired(true);     $t.setRuleName(\"first amount\");     $t.setFiredRule(\"----\");     $t.setRiskScore(7.0);     $t.setPaymentNetwork(\"VISA\"); end"
1200.000000,30.000000,15.000000,3.000000,2.000000,first_amount,""
1200000.000000,30.000000,15.000000,3.000000,2.000000,micro_transaction,""
1200000.000000,30.000000,15.000000,3.000000,2.000000,micro_transaction,""
1200000.000000,30.000000,15.000000,3.000000,2.000000,micro_transaction,""
1200000.000000,30.000000,15.000000,3.000000,2.000000,micro_transaction,""
1200000.000000,30.000000,15.000000,3.000000,2.000000,first amount,"import net.com.fms_core.dto.message.IsoMessageDTO; rule \"first amount\" when $t : IsoMessageDTO(amount > 500) then     $t.setRiskLevel(\"HIGH\");     $t.setFlaggedForReview(true);     $t.setRuleFired(true);     $t.setRuleName(\"first amount\");     $t.setFiredRule(\"----\");     $t.setRiskScore(7.0);     $t.setPaymentNetwork(\"VISA\"); end"
1200000.000000,30.000000,15.000000,3.000000,2.000000,micro_transaction,""
1200000.000000,30.000000,15.000000,3.000000,2.000000,micro_transaction,""
1200000.000000,30.000000,15.000000,3.000000,2.000000,first amount,"import net.com.fms_core.dto.message.IsoMessageDTO; rule \"first amount\" when $t : IsoMessageDTO(amount > 500) then     $t.setRiskLevel(\"HIGH\");     $t.setFlaggedForReview(true);     $t.setRuleFired(true);     $t.setRuleName(\"first amount\");     $t.setFiredRule(\"----\");     $t.setRiskScore(7.0);     $t.setPaymentNetwork(\"VISA\"); end"
