distance_km,time_diff_minutes,required_speed_kmh,impossible_label
293.52,399.06,44.13,0
901.39,1221.61,44.27,0
395.11,982.29,24.13,0
811.71,820.02,59.39,0
726.16,1266.58,34.4,0
342.72,1027.53,20.01,0
180.67,803.82,13.49,0
406.5,790.21,30.87,0
46.35,43.35,64.15,0
809.89,1032.3,47.07,0
113.69,382.61,17.83,0
162.66,302.02,32.31,0
652.34,925.71,42.28,0
558.88,1384.53,24.22,0
230.47,970.5,14.25,0
561.75,1152.89,29.24,0
903.96,130.44,415.8,0
576.53,415.96,83.16,0
840.51,826.91,60.99,0
531.16,1432.52,22.25,0
578.93,49.37,703.58,0
169.47,8.97,1133.58,1
434.39,114.46,227.71,0
955.9,283.3,202.45,0
961.54,1038.66,55.55,0
332.18,430.06,46.34,0
25.85,1014.85,1.53,0
568.46,1004.59,33.95,0
470.06,707.85,39.84,0
872.29,1334.48,39.22,0
123.75,1338.96,5.55,0
921.5,1353.41,40.85,0
230.61,1021.22,13.55,0
566.84,735.85,46.22,0
767.78,1194.52,38.57,0
218.1,1040.43,12.58,0
626.29,325.68,115.38,0
180.56,380.66,28.46,0
888.67,922.29,57.81,0
413.64,860.93,28.83,0
782.15,1285.0,36.52,0
748.03,1397.28,32.12,0
63.75,399.86,9.57,0
120.11,532.32,13.54,0
969.78,476.18,122.19,0
333.49,973.06,20.56,0
784.52,685.3,68.69,0
641.29,468.01,82.21,0
823.68,232.45,212.61,0
725.9,396.11,109.95,0
294.91,9.2,1923.33,1
649.76,1421.0,27.44,0
440.52,231.67,114.09,0
639.39,663.89,57.79,0
887.38,378.84,140.54,0
804.53,1302.26,37.07,0
232.56,687.52,20.3,0
482.93,1176.25,24.63,0
551.03,1360.84,24.3,0
2.84,759.72,0.22,0
558.73,450.12,74.48,0
839.7,1246.01,40.43,0
851.47,434.91,117.47,0
905.35,1327.92,40.91,0
195.28,351.58,33.33,0
252.05,70.15,215.58,0
246.78,231.1,64.07,0
270.22,566.2,28.64,0
339.5,701.98,29.02,0
288.21,581.48,29.74,0
729.4,165.13,265.03,0
352.76,1138.94,18.58,0
335.88,197.67,101.95,0
74.45,629.93,7.09,0
362.41,783.01,27.77,0
6.91,474.94,0.87,0
810.42,1367.99,35.54,0
936.51,219.22,256.32,0
661.34,364.85,108.76,0
145.58,41.53,210.33,0
738.84,408.51,108.52,0
766.05,1358.84,33.83,0
493.41,1351.15,21.91,0
571.79,875.28,39.2,0
295.39,403.66,43.91,0
516.91,454.92,68.18,0
960.57,235.48,244.75,0
12.46,771.65,0.97,0
6.28,1200.28,0.31,0
796.07,1068.28,44.71,0
805.01,922.58,52.35,0
349.22,1348.54,15.54,0
806.73,589.25,82.14,0
446.29,971.87,27.55,0
960.58,773.04,74.56,0
458.8,453.46,60.71,0
771.02,1066.8,43.36,0
923.32,680.85,81.37,0
161.3,1184.7,8.17,0
327.03,841.44,23.32,0
188.27,781.93,14.45,0
330.55,177.11,111.98,0
478.02,268.42,106.85,0
297.73,163.4,109.33,0
339.15,1184.27,17.18,0
265.28,161.64,98.47,0
73.12,1280.14,3.43,0
136.09,1131.15,7.22,0
113.11,770.56,8.81,0
263.28,626.62,25.21,0
606.03,1061.72,34.25,0
706.15,1232.09,34.39,0
817.43,1098.99,44.63,0
592.51,479.57,74.13,0
652.54,523.64,74.77,0
585.38,434.09,80.91,0
355.32,217.81,97.88,0
446.81,459.37,58.36,0
54.84,480.21,6.85,0
189.58,526.57,21.6,0
420.26,294.4,85.65,0
19.8,704.3,1.69,0
387.93,1397.4,16.66,0
37.67,909.22,2.49,0
774.55,1364.71,34.05,0
558.35,897.14,37.34,0
495.78,668.1,44.52,0
461.78,746.29,37.13,0
250.05,993.25,15.1,0
474.02,1168.72,24.34,0
375.98,921.42,24.48,0
322.13,498.52,38.77,0
515.91,80.17,386.11,0
456.54,252.05,108.68,0
946.08,529.38,107.23,0
254.76,413.26,36.99,0
938.03,1411.42,39.88,0
585.49,1117.19,31.44,0
81.82,579.42,8.47,0
853.66,515.34,99.39,0
441.77,1023.4,25.9,0
979.71,1066.07,55.14,0
738.52,407.74,108.68,0
115.9,187.03,37.18,0
375.01,1055.89,21.31,0
416.0,398.27,62.67,0
111.96,100.61,66.77,0
968.87,1112.39,52.26,0
419.65,269.42,93.46,0
504.08,157.78,191.69,0
13.91,1007.78,0.83,0
808.78,682.59,71.09,0
259.69,992.15,15.7,0
500.54,249.02,120.6,0
975.09,50.6,1156.23,1
482.44,475.76,60.84,0
606.89,1032.17,35.28,0
489.0,1240.65,23.65,0
828.21,927.67,53.57,0
197.7,694.27,17.09,0
702.77,1083.97,38.9,0
916.01,697.23,78.83,0
407.16,396.59,61.6,0
504.2,859.08,35.21,0
153.49,1251.09,7.36,0
978.8,1293.46,45.4,0
282.48,698.87,24.25,0
712.2,72.68,587.95,0
220.62,495.55,26.71,0
163.29,969.53,10.11,0
487.91,147.9,197.94,0
464.15,822.96,33.84,0
27.56,646.83,2.56,0
616.24,938.9,39.38,0
401.68,813.71,29.62,0
833.91,483.72,103.44,0
590.06,130.17,271.98,0
509.82,1078.79,28.36,0
678.11,915.43,44.45,0
345.39,1286.29,16.11,0
208.89,1328.44,9.43,0
546.2,426.39,76.86,0
238.22,1412.16,10.12,0
538.74,1152.27,28.05,0
853.87,647.75,79.09,0
2.15,1250.87,0.1,0
378.56,621.06,36.57,0
644.8,516.84,74.85,0
807.24,1326.11,36.52,0
437.3,428.25,61.27,0
100.04,849.94,7.06,0
331.46,957.32,20.77,0
430.33,257.15,100.41,0
268.05,389.92,41.25,0
468.23,243.99,115.14,0
164.51,1396.3,7.07,0
462.42,1161.27,23.89,0
291.61,204.27,85.65,0
592.2,1255.13,28.31,0
534.57,1387.43,23.12,0
270.64,875.07,18.56,0
216.07,1426.98,9.09,0
547.74,185.6,177.07,0
733.03,584.84,75.2,0
731.8,167.48,262.17,0
314.35,1248.96,15.1,0
820.58,1365.6,36.05,0
478.21,1336.4,21.47,0
944.09,1111.43,50.97,0
478.61,1074.02,26.74,0
431.98,410.32,63.17,0
725.94,845.59,51.51,0
340.68,281.94,72.5,0
772.56,374.7,123.71,0
105.8,671.77,9.45,0
263.56,844.14,18.73,0
433.24,12.84,2024.49,1
484.04,114.45,253.76,0
211.96,53.9,235.95,0
372.91,480.07,46.61,0
17.84,930.26,1.15,0
82.22,1237.89,3.99,0
899.5,377.19,143.08,0
817.1,178.09,275.29,0
804.24,1183.78,40.76,0
802.51,216.29,222.62,0
50.74,134.8,22.58,0
426.55,64.12,399.14,0
684.39,889.12,46.18,0
555.8,17.22,1936.59,1
79.85,668.55,7.17,0
863.82,962.68,53.84,0
953.93,1266.74,45.18,0
387.75,572.51,40.64,0
700.17,1411.36,29.77,0
745.52,640.19,69.87,0
92.65,74.28,74.84,0
85.94,719.65,7.17,0
382.41,985.59,23.28,0
